business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr Nithya Kumari Skin Hair and Laser clinic,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 91001 70798,N/A,4.3,,"Church St, near Old Vegetable Market, Thotapalyam, Chittoor, Andhra Pradesh 517001",Thotapalyam,13.2173029,79.09497429999999,ChIJXfe9X2qhsjsRkGgmcKdYm88,https://www.google.com/maps/place/?q=place_id:ChIJXfe9X2qhsjsRkGgmcKdYm88,part_270,2026-09-20 19:29:27
Iraa Skin Clinic | Dr Neha Jangid (Dermatologist),Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 70160 94817,https://iraaskinclinic.com/,5.0,,"First floor, Samruddhi complex, 6, New CG Rd, opp. SBI bank, Chandkheda, Ahmedabad, Gujarat 382424","Full Stop Society, Nigam Nagar, Chandkheda",23.1089172,72.5882894,ChIJr18jIBiDXjkR9KL5jp0fe6o,https://www.google.com/maps/place/?q=place_id:ChIJr18jIBiDXjkR9KL5jp0fe6o,part_270,2026-09-20 19:29:27
Dermiz Skin Clinic,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 70053 28623,N/A,3.8,,"VIP Rd, opposite King cup school, Bank Tinali, Itanagar, Arunachal Pradesh 791111",Bank Tinali,27.100709799999997,93.6219629,ChIJH9Cv56oHRDcR2_2DECEiiO0,https://www.google.com/maps/place/?q=place_id:ChIJH9Cv56oHRDcR2_2DECEiiO0,part_270,2026-09-20 19:29:27
Glow skin and hair care clinic (unit of Kottureshwara hospitals),Skin Clinic and Dermatologist,Dermatologist,Dermatologist,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 83100 12366,https://www.glowskinandhaircareclinic.com/,4.7,,"Opposite LIC office, hosalli road, next to little hearts school, Gangavathi, Karnataka 583227",Ambedkar Nagar,15.4243242,76.5375887,ChIJTTN-XBuBtzsRZaitj1SVZqQ,https://www.google.com/maps/place/?q=place_id:ChIJTTN-XBuBtzsRZaitj1SVZqQ,part_270,2026-09-20 19:29:27
The Skin Doctors,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Hair transplantation clinic, Laser hair removal service, Plastic surgery clinic, Dermatologist, Tattoo removal service",632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 93736 57799,https://www.theskindoctors.in/pimplesaudagar,4.8,,"Shop 126-127, Vision 9 Mall, Kunal Icon Rd, Pimple Saudagar, Pimpri-Chinchwad, Maharashtra 411027",Pimple Saudagar,18.594648199999998,73.7932399,ChIJbRN91R65wjsR4ToCmKitISE,https://www.google.com/maps/place/?q=place_id:ChIJbRN91R65wjsR4ToCmKitISE,part_270,2026-09-20 19:29:27
Sri Sai Skin & Hair Clinic,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 99884 43959,N/A,4.7,,"Station Rd, near Puneeth Rajkumar Circle, adjacent to Ashwini Hospital, Patel Nagar, Hosapete, Karnataka 583201",Patel Nagar,15.276399099999999,76.3876074,ChIJzwVp1ZvVuTsR1678jJrxr8A,https://www.google.com/maps/place/?q=place_id:ChIJzwVp1ZvVuTsR1678jJrxr8A,part_270,2026-09-20 19:29:27
Kuchu Kumen Skin Clinic (Dr Tolongkhomba P),Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Doctor, Dermatologist",632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 60099 59705,http://www.kuchukumenskinclinic.com/,4.0,,"Moirangpurel Leikai, Kwakeithel, Imphal, Manipur 795001","Moirangpurel Leikai, Kwakeithel",24.7855106,93.9268405,ChIJZe5wXCcnSTcRocZtd4bmqB0,https://www.google.com/maps/place/?q=place_id:ChIJZe5wXCcnSTcRocZtd4bmqB0,part_270,2026-09-20 19:29:27
Medicare Skin and Cosmetic Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist, Hair removal service, Hair transplantation clinic, Laser hair removal service, Laser tag center, Medical clinic",632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 92428 55707,http://www.medicareskin.com/,4.8,,"Medicare Skin & Cosmetic Clinics, Metro Station Back Gate Of, Jyothy Kendriya Vidyalaya, near Yelachenahalli, Munikrishna Layout, Yelachenahalli, Konanakunte, Bengaluru, Karnataka 560078","Munikrishna Layout, Yelachenahalli, Konanakunte",12.8942903,77.5711846,ChIJyc2VyXEVrjsRfJFceJ6-Hrk,https://www.google.com/maps/place/?q=place_id:ChIJyc2VyXEVrjsRfJFceJ6-Hrk,part_270,2026-09-20 19:29:29
"Kosmoderma Skin, Hair & Body Clinic in JP Nagar",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Electrolysis hair removal service, Hair removal service, Hair transplantation clinic, IV therapy service, Laser hair removal service, Plastic surgeon, Plastic surgery clinic, Dermatologist, Tattoo removal service",632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 76760 76376,https://www.kosmoderma.com/,4.6,,"No 41, Vinayas Towers, Bannerghatta Rd, JP Nagar 4th Phase, Dollar Layout, Phase 4, J. P. Nagar, Bengaluru, Karnataka 560076","JP Nagar 4th Phase, Dollar Layout, Phase 4, J. P. Nagar",12.906911599999999,77.59969989999999,ChIJVVVVyRsVrjsRUEvTNzzDyBI,https://www.google.com/maps/place/?q=place_id:ChIJVVVVyRsVrjsRUEvTNzzDyBI,part_270,2026-09-20 19:29:29
Dr Mradula s Aesthetica Skin Hair and Cosmetic Clinic,Skin Clinic and Dermatologist,Skin care clinic,Skin care clinic,632403,Tamilnadu Circle,Chennai City Region,Arakkonam Division,Ranipet Industrial Estate SO,+91 87627 17141,http://aestheticaskinclinic.in/,4.8,,"1st Floor, Padma complex WGHS, next to Poorvika, RBI Layout, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","RBI Layout, JP Nagar 7th Phase, J. P. Nagar",12.8886603,77.5820339,ChIJEWveqUcVrjsRfelR5xcu_J4,https://www.google.com/maps/place/?q=place_id:ChIJEWveqUcVrjsRfelR5xcu_J4,part_270,2026-09-20 19:29:29
